City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Port Alfred,ZA,2023-01-31 05:48:29,-33.5906,26.891,67.17,92,96,5.01
67,Salalah,OM,2023-01-31 05:46:39,17.0151,54.0924,73.49,60,20,4.61
68,Butaritari,KI,2023-01-31 05:48:29,3.0707,172.7902,80.92,81,78,18.45
69,Abu Dhabi,AE,2023-01-31 05:44:07,24.4667,54.3667,65.97,78,0,5.75
70,Mangrol,IN,2023-01-31 05:48:30,21.1167,70.1167,76.6,32,4,14.32
71,Orlik,RU,2023-01-31 05:48:30,52.5178,99.825,1.2,80,35,1.52
72,Puerto Escondido,MX,2023-01-31 05:48:30,15.85,-97.0667,74.82,74,0,4.5
73,Dunedin,NZ,2023-01-31 05:46:56,-45.8742,170.5036,67.8,73,38,8.01
74,Pechenga,RU,2023-01-31 05:48:31,69.5259,31.1703,17.83,98,97,3.18
75,Luena,AO,2023-01-31 05:48:31,-11.7833,19.9167,61.81,98,100,3.71
76,Verkhnevilyuysk,RU,2023-01-31 05:48:32,63.4453,120.3167,-30.75,97,88,3.53
77,Ardino,BG,2023-01-31 05:48:32,41.5833,25.1333,32.04,78,100,2.8
78,Sambava,MG,2023-01-31 05:48:32,-14.2667,50.1667,82.98,72,4,7.47
79,Dingolfing,DE,2023-01-31 05:48:33,48.6333,12.5,37.11,82,100,13.35
80,Kawalu,ID,2023-01-31 05:48:33,-7.3817,108.2082,83.62,67,100,2.75
81,Arraial Do Cabo,BR,2023-01-31 05:48:33,-22.9661,-42.0278,76.06,85,78,26.62
82,Mukhen,RU,2023-01-31 05:48:34,48.1,136.1,7.61,76,96,9.82
83,Yulara,AU,2023-01-31 05:48:34,-25.2406,130.9889,92.26,23,76,7.23
84,Lucea,JM,2023-01-31 05:48:34,18.451,-78.1736,73.85,83,24,11.27
85,Viedma,AR,2023-01-31 05:48:34,-40.8135,-62.9967,63.95,79,79,18.57
86,Camacha,PT,2023-01-31 05:48:35,33.0833,-16.3333,54.82,58,40,8.05
87,Georgetown,MY,2023-01-31 05:48:39,5.4112,100.3354,89.53,64,20,5.75
88,Hobyo,SO,2023-01-31 05:49:35,5.3505,48.5268,78.44,60,40,22.21
89,Bluff,NZ,2023-01-31 05:49:36,-46.6,168.3333,63.54,90,47,3.58
90,Busselton,AU,2023-01-31 05:49:36,-33.65,115.3333,83.97,38,98,14.52
91,Longyearbyen,SJ,2023-01-31 05:49:36,78.2186,15.6401,17.44,62,20,14.97
92,Sadovoye,RU,2023-01-31 05:49:37,47.7764,44.5089,28.94,91,88,7.23
93,Nouakchott,MR,2023-01-31 05:47:35,18.0858,-15.9785,60.73,40,14,11.59
94,Ucluelet,CA,2023-01-31 05:49:37,48.9329,-125.5528,39.09,82,100,5.75
95,Sola,VU,2023-01-31 05:49:37,-13.8833,167.55,80.91,74,100,10.16
96,Tirukkoyilur,IN,2023-01-31 05:49:37,11.95,79.2,86.23,47,28,15.97
97,Pavilosta,LV,2023-01-31 05:49:38,56.8879,21.1859,37.31,75,70,17.11
98,Chadan,RU,2023-01-31 05:49:38,51.2833,91.5833,0.45,94,82,2.21
99,Lamu,KE,2023-01-31 05:49:38,-2.2717,40.902,79.02,78,66,9.75
100,Chernyshevskiy,RU,2023-01-31 05:49:39,63.0128,112.4714,-20.47,96,98,1.77
101,Manzhouli,CN,2023-01-31 05:49:39,49.6,117.4333,9.73,86,100,20.33
102,Hithadhoo,MV,2023-01-31 05:49:39,-0.6,73.0833,80.29,79,36,12.26
103,Dyersburg,US,2023-01-31 05:49:40,36.0345,-89.3856,31.28,94,100,6.91
104,Huilong,CN,2023-01-31 05:49:40,31.8111,121.655,55.18,41,19,6.06
105,Mezen,RU,2023-01-31 05:49:40,65.8522,44.24,23.16,95,100,12.88
106,Esperance,AU,2023-01-31 05:49:41,-33.8667,121.9,69.24,65,34,14.47
107,Soroti,UG,2023-01-31 05:49:41,1.7146,33.6111,77.43,43,12,4.65
108,Pangai,TO,2023-01-31 05:49:41,-19.8,-174.35,86.11,74,75,4.61
109,Saskylakh,RU,2023-01-31 05:49:42,71.9167,114.0833,-47.79,100,70,2.48
110,Los Llanos De Aridane,ES,2023-01-31 05:49:42,28.6585,-17.9182,56.95,75,75,11.5
111,Mwingi,KE,2023-01-31 05:49:42,-0.9344,38.0601,74.98,52,19,1.01
112,Okitipupa,NG,2023-01-31 05:49:42,6.5047,4.7839,74.66,98,100,1.52
113,Xiongyue,CN,2023-01-31 05:49:43,40.1774,122.1228,35.4,52,3,4.83
114,East London,ZA,2023-01-31 05:49:43,-33.0153,27.9116,67.14,94,100,12.66
115,Sangmelima,CM,2023-01-31 05:49:43,2.9333,11.9833,66.94,97,83,2.3
116,Caravelas,BR,2023-01-31 05:49:44,-17.7125,-39.2481,72.28,93,31,3.6
117,Korla,CN,2023-01-31 05:49:44,41.7597,86.1469,25.7,51,99,3.09
118,Kaniama,CD,2023-01-31 05:49:44,-7.5667,24.1833,67.86,95,100,4.18
119,George,ZA,2023-01-31 05:49:45,-33.963,22.4617,62.15,88,0,2.3
120,Vaitape,PF,2023-01-31 05:49:45,-16.5167,-151.75,81.54,74,43,12.97
121,Walvis Bay,NA,2023-01-31 05:45:32,-22.9575,14.5053,63.09,85,7,6.6
122,Saint George,US,2023-01-31 05:45:10,37.1041,-113.5841,28.99,54,0,4.61
123,San Cristobal,VE,2023-01-31 05:49:46,7.7669,-72.225,66.38,93,27,2.73
124,Tura,IN,2023-01-31 05:49:46,25.5198,90.2201,82.42,28,74,4.09
125,Spring Hill,US,2023-01-31 05:49:46,28.4769,-82.5255,70.23,96,100,0.0
126,Bambous Virieux,MU,2023-01-31 05:49:46,-20.3428,57.7575,85.21,78,40,0.0
127,Tasiilaq,GL,2023-01-31 05:49:47,65.6145,-37.6368,14.16,93,100,2.37
128,Marsa Matruh,EG,2023-01-31 05:49:47,31.3525,27.2453,50.2,87,40,13.8
129,Fortuna,US,2023-01-31 05:47:36,40.5982,-124.1573,37.92,84,0,11.5
130,Hilo,US,2023-01-31 05:49:47,19.7297,-155.09,73.27,96,100,3.0
131,Price,US,2023-01-31 05:50:48,39.5994,-110.8107,16.86,41,0,5.75
132,Chumikan,RU,2023-01-31 05:50:48,54.7183,135.315,-6.3,81,17,24.32
133,Bathsheba,BB,2023-01-31 05:50:48,13.2167,-59.5167,74.01,78,20,9.22
134,Bredasdorp,ZA,2023-01-31 05:50:49,-34.5322,20.0403,69.33,70,22,14.0
135,Port Elizabeth,ZA,2023-01-31 05:46:59,-33.918,25.5701,70.32,86,75,14.97
136,Geraldton,AU,2023-01-31 05:48:09,-28.7667,114.6,84.61,58,11,17.27
137,Muli,MV,2023-01-31 05:50:49,2.9167,73.5667,80.19,75,55,7.63
